houseid,description,price,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,city,province
133,RFO 5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 143sqm,10748000.0,5.0,3.0,166.0,143.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
134,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",26365000.0,3.0,3.0,219.3,90.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
135,"2BR 2-Storey Townhouse for Sale in Malolos, Bulacan at Camella Provence | Arielle IU",3025000.0,2.0,1.0,36.0,42.0,14.87426,120.7915336,Longos,Malolos
136,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse (Garden Unit)",28348000.0,3.0,3.0,219.3,105.0,14.4270005,121.0452782,Km. 19 West Service Rd. Cupang,Muntinlupa
137,"For Sale 4BR 3-Storey Townhouse in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands",9500000.0,4.0,4.0,132.0,66.0,14.3214271,120.94188,Aguinaldo Highway San Agustin I,Dasmarinas
138,2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Bella 99sqm,5705000.0,2.0,2.0,53.0,99.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
139,RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle Combo Lot 96sqm,5174000.0,2.0,1.0,46.0,96.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
140,"RFO 2-Storey House and Lot w/ 1BR Provision for Sale in Subic, Zambales at Camella Subic | Aleah",2341000.0,1.0,1.0,33.0,70.0,14.9131781,120.2282421,Aningway Sacatihan,Subic
141,"RFO 3BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Jade",10413000.0,3.0,2.0,76.0,128.0,14.87426,120.7915336,Longos,Malolos
142,"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Mika",5179000.0,2.0,1.0,46.0,60.0,14.87426,120.7915336,Longos,Malolos
143,"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Bella 88sqm",6005000.0,2.0,2.0,53.0,88.0,14.87426,120.7915336,Longos,Malolos
144,"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara 99sqm",6200000.0,3.0,2.0,66.0,99.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
145,"For Sale RFO 2BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm",4454000.0,2.0,1.0,40.0,63.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
146,"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Mika 63sqm",4458000.0,2.0,1.0,46.0,63.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
147,"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Carmela",8915000.0,3.0,2.0,66.0,121.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
148,2BR 2-Storey House and Lot for Sale in Cabanatuan Nueva Ecija at Camella Nueva Ecija | Ezabelle 63sqm,4270000.0,2.0,1.0,46.0,63.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
149,"2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm",4263000.0,2.0,1.0,40.0,63.0,15.468244,120.9764138,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
